,field_year,field_category,field_publication,title,field_abbr_citation
443,2009,Local Reporting,East Valley Tribune,Ryan Gabrielson and Paul Giblin,"For their adroit use of limited resources to reveal, in print and online, how a popular sheriff&#039;s focus on immigration enforcement endangered investigation of violent crime and other aspects of public safety."
444,2008,Local Reporting,Milwaukee Journal Sentinel,David Umhoefer,"For his stories on the skirting of tax laws to pad pensions of county employees, prompting change and possible prosecution of key figures."
445,2007,Local Reporting,The Miami Herald,Debbie Cenziper,"For reports on waste, favoritism and lack of oversight at the Miami housing agency that resulted in dismissals, investigations and prosecutions."
446,1952,Local Reporting,San Francisco Chronicle,George De Carvalho,For his stories of a &quot;ransom racket&quot; extorting money from Chinese in the United States for relations held in Red China.
447,1951,Local Reporting,San Francisco Examiner,Edward S. Montgomery,For his series of articles on tax frauds which culminated in an expose within the Bureau of Internal Revenue.
448,1950,Local Reporting,The New York Times,Meyer Berger,"For his 4,000 word story on the mass killings by Howard Unruh in Camden, N.J."
449,1949,Local Reporting,New York Sun,Malcolm Johnson,For his series of 24 articles entitled &quot;Crime on the Waterfront&quot; in New York City.
450,1948,Local Reporting,The Atlanta Journal-Constitution,George E. Goodwin,"For his story of the Telfair County vote fraud, published in 1947."
451,2020,National Reporting,,"T. Christian Miller, Megan Rose and Robert Faturechi of ProPublica",For their investigation into America’s 7th Fleet after a series of deadly naval accidents in the Pacific.
452,2020,National Reporting,The Seattle Times,"Dominic Gates, Steve Miletich, Mike Baker and Lewis Kamb of The Seattle Times",For groundbreaking stories that exposed design flaws in the Boeing 737 MAX that led to two deadly crashes and revealed failures in government oversight.
453,2019,National Reporting,The Wall Street Journal,Staff of The Wall Street Journal,"For uncovering President Trump’s secret payoffs to two women during his campaign who claimed to have had affairs with him, and the web of supporters who facilitated the transactions, triggering criminal inquiries and calls for impeachment."
454,2018,National Reporting,The New York Times and The Washington Post,Staffs of The New York Times and The Washington Post,"For deeply sourced, relentlessly reported coverage in the public interest that dramatically furthered the nation’s understanding of Russian interference in the 2016 presidential election and its connections to the Trump campaign, the President-elect’s transition team and his eventual administration. (The New York Times entry, submitted in this category, was moved into contention by the Board and then jointly awarded the Prize.)"
455,2017,National Reporting,The Washington Post,David A. Fahrenthold,For persistent reporting that created a model for transparent journalism in political campaign coverage while casting doubt on Donald Trump’s assertions of generosity toward charities.
456,2016,National Reporting,The Washington Post,The Washington Post Staff,For its revelatory initiative in creating and using a national database to illustrate how often and why the police shoot to kill and who the victims are most likely to be.
457,2015,National Reporting,The Washington Post,Carol D. Leonnig,"For her smart, persistent coverage of the Secret Service, its security lapses and the ways in which the agency neglected its vital task: the protection of the president of the United States."
458,2014,National Reporting,The Gazette,David Philipps,"For expanding the examination of how wounded combat veterans are mistreated, focusing on loss of benefits for life after discharge by the Army for minor offenses, stories augmented with digital tools and stirring congressional action."
459,2013,National Reporting,InsideClimate News,"Lisa Song, Elizabeth McGowan and David Hasemyer","For their rigorous reports on flawed regulation of the nation&#039;s oil pipelines, focusing on potential ecological dangers posed by diluted bitumen (or &quot;dilbit&quot;), a controversial form of oil."
460,2012,National Reporting,The Huffington Post,David Wood,For his riveting exploration of the physical and emotional challenges facing American soldiers severely wounded in Iraq and Afghanistan during a decade of war.
461,2011,National Reporting,ProPublica,Jesse Eisinger and Jake Bernstein,"For their exposure of questionable practices on Wall Street that contributed to the nation&#039;s economic meltdown, using digital tools to help explain the complex subject to lay readers."
462,2010,National Reporting,The New York Times,Matt Richtel and members of the Staff,"For incisive work, in print and online, on the hazardous use of cell phones, computers and other devices while operating cars and trucks, stimulating widespread efforts to curb distracted driving."
463,2009,National Reporting,St. Petersburg Times,Staff,"For &quot;PolitiFact,&quot; its fact-checking initiative during the 2008 presidential campaign that used probing reporters and the power of the World Wide Web to examine more than 750 political claims, separating rhetoric from truth to enlighten voters. (Moved by the Board to the National Reporting category.)"
464,2008,National Reporting,The Washington Post,Jo Becker and Barton Gellman,For their lucid exploration of Vice President Dick Cheney and his powerful yet sometimes disguised influence on national policy.
465,2007,National Reporting,The Boston Globe,Charlie Savage,For his revelations that President Bush often used &quot;signing statements&quot; to assert his controversial right to bypass provisions of new laws.
466,2006,National Reporting,The New York Times,James Risen and Eric Lichtblau,For their carefully sourced stories on secret domestic eavesdropping that stirred a national debate on the boundary line between fighting terrorism and protecting civil liberty.
467,2006,National Reporting,The San Diego Union-Tribune and Copley News Service,Staffs,For their disclosure of bribe-taking that sent former Rep. Randy Cunningham to prison in disgrace.
468,2005,National Reporting,The New York Times,Walt Bogdanich,For his heavily documented stories about the corporate cover-up of responsibility for fatal accidents at railway crossings.
469,2004,National Reporting,Los Angeles Times,Staff,For its engrossing examination of the tactics that have made Wal-Mart the largest company in the world with cascading effects across American towns and developing countries.
470,2003,National Reporting,Los Angeles Times,Alan Miller and Kevin Sack,"For their revelatory and moving examination of a military aircraft, nicknamed &quot;The Widow Maker,&quot; that was linked to the deaths of 45 pilots. (Moved by the Board from the Investigative Reporting category to the National Reporting category, where it was also entered.)"
471,2002,National Reporting,The Washington Post,Staff,"For its comprehensive coverage of America&#039;s war on terrorism, which regularly brought forth new information together with skilled analysis of unfolding developments."
472,2001,National Reporting,The New York Times,Staff,For its compelling and memorable series exploring racial experiences and attitudes across contemporary America.
473,2000,National Reporting,The Wall Street Journal,Staff,For its revealing stories that question U.S. defense spending and military deployment in the post-Cold War era and offer alternatives for the future.
474,1999,National Reporting,The New York Times,Staff,"For a series of articles that disclosed the corporate sale of American technology to China, with U.S. government approval despite national security risks, prompting investigations and significant changes in policy."
475,1998,National Reporting,Dayton Daily News,Russell Carollo and Jeff Nesmith,For their reporting that disclosed dangerous flaws and mismanagement in the military health care system and prompted reforms.
476,1997,National Reporting,The Wall Street Journal,Staff,"For its coverage of the struggle against AIDS in all of its aspects, the human, the scientific and the business, in light of promising treatments for the disease."
477,1996,National Reporting,The Wall Street Journal,Alix M. Freedman,"For her coverage of the tobacco industry, including a report that exposed how ammonia additives heighten nicotine potency."
478,1995,National Reporting,The Wall Street Journal,Tony Horwitz,For stories about working conditions in low-wage America.
479,1994,National Reporting,Albuquerque Tribune,Eileen Welsome,For stories that related the experiences of Americans who had been used unknowingly in government radiation experiments nearly 50 years ago.
480,1993,National Reporting,The Washington Post,David Maraniss,For his revealing articles on the life and political record of candidate Bill Clinton.
481,1992,National Reporting,Kansas City Star,Jeff Taylor and Mike McGraw,For their critical examination of the U.S. Department of Agriculture.
482,1991,National Reporting,Gannett News Service,Marjie Lundstrom and Rochelle Sharpe,For reporting that disclosed hundreds of child abuse-related deaths go undetected each year as a result of errors by medical examiners.
483,1990,National Reporting,The Seattle Times,"Ross Anderson, Bill Dietrich, Mary Ann Gwinn and Eric Nalder",For coverage of the Exxon Valdez oil spill and its aftermath.
484,1989,National Reporting,The Philadelphia Inquirer,Donald L. Barlett and James B. Steele,"For their 15-month investigation of &quot;rifle shot&quot; provisions in the Tax Reform Act of 1986, a series that aroused such widespread public indignation that Congress subsequently rejected proposals giving special tax breaks to many politically connected individuals and businesses."
485,1988,National Reporting,The Philadelphia Inquirer,Tim Weiner,For his series of reports on a secret Pentagon budget used by the government to sponsor defense research and an arms buildup.
486,1987,National Reporting,Miami Herald,Staff,For its exclusive reporting and persistent coverage of the U.S. -- Iran-Contra connection.
487,1987,National Reporting,The New York Times,Staff,"For coverage of the aftermath of the Challenger explosion, which included stories that identified serious flaws in the shuttle&#039;s design and in the administration of America&#039;s space program."
488,1986,National Reporting,The Dallas Morning News,Craig Flournoy and George Rodrigue,"For their investigation into subsidized housing in East Texas, which uncovered patterns of racial discrimination and segregation in public housing across the United States and led to significant reforms."
489,1986,National Reporting,The Philadelphia Inquirer,Arthur Howe,For his enterprising and indefatigable reporting on massive deficiencies in IRS processing of tax returns-reporting that eventually inspired major changes in IRS procedures and prompted the agency to make a public apology to U.S. taxpayers.
490,1985,National Reporting,Des Moines Register,Thomas J. Knudson,For his series of articles that examined the dangers of farming as an occupation.
491,1984,National Reporting,The New York Times,John Noble Wilford,For reporting on a wide variety of scientific topics of national import.
492,1983,National Reporting,The Boston Globe,Staff,For its balanced and informative special report on the nuclear arms race.
493,1982,National Reporting,The Kansas City Times,Rick Atkinson,For the uniform excellence of his reporting and writing on stories of national import.
494,1981,National Reporting,The New York Times,John M. Crewdson,For his coverage of illegal aliens and immigration.
495,1980,National Reporting,St. Petersburg (FL) Times,Bette Swenson Orsini and Charles Stafford,For their investigation of the Church of Scientology.
496,1979,National Reporting,Des Moines Register,James Risser,For a series on farming damage to the environment.
497,1978,National Reporting,Los Angeles Times,Gaylord D. Shaw,For a series on unsafe structural conditions at the nation&#039;s major dams.
498,1977,National Reporting,Associated Press,Walter Mears,For his coverage of the 1976 Presidential campaign.
499,1976,National Reporting,Des Moines Register,James Risser,For disclosing large-scale corruption in the American grain exporting trade.
500,1975,National Reporting,The Philadelphia Inquirer,Donald L. Barlett and James B. Steele,"For their series &quot;Auditing the Internal Revenue Service,&quot; which exposed the unequal application of Federal tax laws."
501,1974,National Reporting,Providence Journal and Evening Bulletin,Jack White,For his initiative in exclusively disclosing President Nixon&#039;s Federal income tax payments in 1970 and 1971.
502,1974,National Reporting,Washington Star-News,James R. Polk,For his disclosure of alleged irregularities in the financing of the campaign to re-elect President Nixon in 1972.
503,1973,National Reporting,Knight Newspapers,Robert Boyd and Clark Hoyt,"For their disclosure of Senator Thomas Eagleton&#039;s history of psychiatric therapy, resulting in his withdrawal as the Democratic Vice Presidential nominee in 1972."
504,1972,National Reporting,United Features Syndicate,Jack Anderson,For his reporting of American policy decision-making during the Indo-Pakistan War of 1971.
505,1971,National Reporting,United Press International,Lucinda Franks and Thomas Powers,For their documentary on the life and death of a 28-year-old revolutionary Diana Oughton: &quot;The Making of a Terrorist.&quot;
506,1970,National Reporting,Chicago Daily News,William J. Eaton,"For disclosures about the background of Judge Clement F. Haynesworth Jr., in connection with his nomination for the United States Supreme Court."
507,1969,National Reporting,The Christian Science Monitor,Robert Cahn,For his inquiry into the future of our national parks and the methods that may help to preserve them.
508,1968,National Reporting,Des Moines Register and Minneapolis Tribune,Nathan K. (Nick) Kotz,"For his reporting of unsanitary conditions in many meat packing plants, which helped insure the passage of the Federal Wholesome Meat Act of 1967."
509,1968,National Reporting,The Christian Science Monitor,Howard James,"For his series of articles, &quot;Crisis in the Courts.&quot;"
510,1967,National Reporting,The Wall Street Journal,Stanley Penn and Monroe Karmin,For their investigative reporting of the connection between American crime and gambling in the Bahamas.
511,1966,National Reporting,Washington Evening Star,Haynes Johnson,"For his distinguished coverage of the civil rights conflict centered about Selma, Ala., and particularly his reporting of its aftermath."
512,1965,National Reporting,The Wall Street Journal,Louis M. Kohlmeier,For his enterprise in reporting the growth of the fortune of President Lyndon B. Johnson and his family.
513,1964,National Reporting,United Press International,Merriman Smith,For his outstanding coverage of the assassination of President John F. Kennedy.
514,1963,National Reporting,The New York Times,Anthony Lewis,"For his distinguished reporting of the proceedings of the United States Supreme Court during the year, with particular emphasis on the coverage of the decision in the reapportionment case and its consequences in many of the States of the Union."
515,1962,National Reporting,Nashville Tennessean,Nathan G. Caldwell and Gene S. Graham,"For their exclusive disclosure and six years of detailed reporting, under great difficulties, of the undercover cooperation between management interests in the coal industry and the United Mine Workers."
516,1961,National Reporting,The Wall Street Journal,Edward R. Cony,For his analysis of a timber transaction which drew the attention of the public to the problems of business ethics.
517,1960,National Reporting,Scripps-Howard Newspaper Alliance,Vance Trimble,For a series of articles exposing the extent of nepotism in the Congress of the United States.
518,1959,National Reporting,The Miami (FL) News,Howard Van Smith,"For a series of articles that focused public notice on deplorable conditions in a Florida migrant labor camp, resulted in the provision of generous assistance for the 4,000 stranded workers in the camp, and thereby called attention to the national problem presented by 1,500,000 migratory laborers."
519,1958,National Reporting,Des Moines Register and Tribune,Clark Mollenhoff,"For his persistent inquiry into labor racketeering, which included investigatory reporting of wide significance."
520,1958,National Reporting,Associated Press,Relman Morin,"For his dramatic and incisive eyewitness report of mob violence on September 23, 1957, during the integration crisis at the Central High School in Little Rock, Arkansas."
521,1957,National Reporting,The New York Times,James Reston,"For his distinguished national correspondence, including both news dispatches and interpretive reporting, an outstanding example of which was his five-part analysis of the effect of President Eisenhower&#039;s illness on the functioning of the Executive Branch of the Federal Government."
522,1956,National Reporting,Chattanooga Times,Charles L. Bartlett,For his original disclosures that led to the resignation of Harold E. Talbott as Secretary of the Air Force.
523,1955,National Reporting,Washington Daily News,Anthony Lewis,"For publishing a series of articles which were adjudged directly responsible for clearing Abraham Chasanow, an employee of the U.S. Navy Department, and bringing about his restoration to duty with an acknowledgment by the Navy Department that it had committed a grave injustice in dismissing him as a security risk. Mr. Lewis received the full support of his newspaper in championing an American citizen, without adequate funds or resources for his defense, against an unjust act by a government department. This is in the best tradition of American journalism."
524,1954,National Reporting,Des Moines Register &amp; Tribune,Richard Wilson,For his exclusive publication of the FBI Report to the White House in the Harry Dexter White case before it was laid before the Senate by J. Edgar Hoover.
525,1953,National Reporting,Associated Press,Don Whitehead,"For his article called &quot;The Great Deception,&quot; dealing with the intricate arrangements by which the safety of President-elect Eisenhower was guarded enroute from Morningside Heights in New York to Korea."
526,1952,National Reporting,The New York Times,Anthony Leviero,"For his exclusive article of April 21, 1951, disclosing the record of conversations between President Truman and General of the Army Douglas MacArthur at Wake Island in their conference of October, 1950."
527,1950,National Reporting,The Seattle Times,Edwin O. Guthman,"For his series on the clearing of Communist charges of Professor Melvin Rader, who had been accused of attending a secret Communist school."
528,1949,National Reporting,The New York Times,C. P. Trussell,For consistent excellence covering the national scene from Washington.
529,1948,National Reporting,Minneapolis Tribune,Nat S. Finney,For his stories on the plan of the Truman administration to impose secrecy about the ordinary affairs of federal civilian agencies in peacetime.
530,1948,National Reporting,New York Herald Tribune,Bert Andrews,For his articles on &quot;A State Department Security Case&quot; published in I947.
531,2020,International Reporting,The New York Times,Staff of The New York Times,"For a set of enthralling stories, reported at great risk, exposing the predations of Vladimir Putin’s regime."
532,2019,International Reporting,,"Staff of Reuters, with notable contributions from Wa Lone and Kyaw Soe Oo","For expertly exposing the military units and Buddhist villagers responsible for the systematic expulsion and murder of Rohingya Muslims from Myanmar, courageous coverage that landed its reporters in prison."
533,2019,International Reporting,Associated Press,"Maggie Michael, Maad al-Zikry and Nariman El-Mofty of Associated Press","For a revelatory yearlong series detailing the atrocities of the war in Yemen, including theft of food aid, deployment of child soldiers and torture of prisoners. The reporting was supported by the independent Pulitzer Center for Crisis Reporting."
534,2018,International Reporting,,"Clare Baldwin, Andrew R.C. Marshall and Manuel Mogato of Reuters",For relentless reporting that exposed the brutal killing campaign behind Philippines President Rodrigo Duterte’s war on drugs.
535,2017,International Reporting,The New York Times,The New York Times Staff,"For agenda-setting reporting on Vladimir Putin’s efforts to project Russia’s power abroad, revealing techniques that included assassination, online harassment and the planting of incriminating evidence on opponents."
536,2016,International Reporting,The New York Times,Alissa J. Rubin,For thoroughly reported and movingly written accounts giving voice to Afghan women who were forced to endure unspeakable cruelties.
537,2015,International Reporting,The New York Times,The New York Times Staff,"For courageous front-line reporting and vivid human stories on Ebola in Africa, engaging the public with the scope and details of the outbreak while holding authorities accountable."
538,2014,International Reporting,Reuters,Jason Szep and Andrew R.C. Marshall,"For their courageous reports on the violent persecution of the Rohingya, a Muslim minority in Myanmar that, in efforts to flee the country, often falls victim to predatory human-trafficking networks."
539,2013,International Reporting,The New York Times,David Barboza,"For his striking exposure of corruption at high levels of the Chinese government, including billions in secret wealth owned by relatives of the prime minister, well documented work published in the face of heavy pressure from the Chinese officials."
540,2012,International Reporting,The New York Times,Jeffrey Gettleman,"For his vivid reports, often at personal peril, on famine and conflict in East Africa, a neglected but increasingly strategic part of the world."
541,2011,International Reporting,The New York Times,Clifford J. Levy and Ellen Barry,"For their dogged reporting that put a human face on the faltering justice system in Russia, remarkably influencing the discussion inside the country."
542,2010,International Reporting,The Washington Post,Anthony Shadid,"For his rich, beautifully written series on Iraq as the United States departs and its people and leaders struggle to deal with the legacy of war and to shape the nation&#039;s future."
543,2009,International Reporting,The New York Times,Staff,"For its masterful, groundbreaking coverage of America&#039;s deepening military and political challenges in Afghanistan and Pakistan, reporting frequently done under perilous condition"
544,2008,International Reporting,The Washington Post,Steve Fainaru,For his heavily reported series on private security contractors in Iraq that operate outside most of the laws governing American forces.
545,2007,International Reporting,The Wall Street Journal,Staff,For its sharply edged reports on the adverse impact of China&#039;s booming capitalism on conditions ranging from inequality to pollution.
546,2006,International Reporting,The New York Times,Joseph Kahn and Jim Yardley,For their ambitious stories on ragged justice in China as the booming nation&#039;s legal system evolves.
547,2005,International Reporting,Los Angeles Times,Kim Murphy,"For her eloquent, wide ranging coverage of Russia&#039;s struggle to cope with terrorism, improve the economy and make democracy work."
548,2005,International Reporting,Newsday,Dele Olojede,"For his fresh, haunting look at Rwanda a decade after rape and genocidal slaughter had ravaged the Tutsi tribe."
549,2004,International Reporting,The Washington Post,Anthony Shadid,"For his extraordinary ability to capture, at personal peril, the voices and emotions of Iraqis as their country was invaded, their leader toppled and their way of life upended."
550,2003,International Reporting,The Washington Post,Kevin Sullivan and Mary Jordan,For their exposure of horrific conditions in Mexico&#039;s criminal justice system and how they affect the daily lives of people.
551,2002,International Reporting,The New York Times,Barry Bearak,For his deeply affecting and illuminating coverage of daily life in war-torn Afghanistan.
552,2001,International Reporting,The Wall Street Journal,Ian Johnson,For his revealing stories from China about victims of the government&#039;s often brutal suppression of the Falun Gong movement and the implications of that campaign for the future.
553,2001,International Reporting,Chicago Tribune,Paul Salopek,"For his reporting on the political strife and disease epidemics ravaging Africa, witnessed firsthand as he traveled, sometimes by canoe, through rebel-controlled regions of the Congo."
554,2000,International Reporting,The Village Voice,Mark Schoofs,For his provocative and enlightening series on the AIDS crisis in Africa.
555,1999,International Reporting,The Wall Street Journal,Staff,"For its in-depth, analytical coverage of the Russian financial crisis."
556,1998,International Reporting,The New York Times,Staff,For its revealing series that profiled the corrosive effects of drug corruption in Mexico.
557,1997,International Reporting,The New York Times,John F. Burns,For his courageous and insightful coverage of the harrowing regime imposed on Afghanistan by the Taliban.
558,1996,International Reporting,The Christian Science Monitor,David Rohde,For his persistent on-site reporting of the massacre of thousands of Bosnian Muslims in Srebrenica.
559,1995,International Reporting,Associated Press,Mark Fritz,For his reporting on the ethnic violence and slaughter in Rwanda.
560,1994,International Reporting,The Dallas Morning News,Dallas Morning News Team,For its series examining the epidemic of violence against women in many nations.
561,1993,International Reporting,Newsday,Roy Gutman,For his courageous and persistent reporting that disclosed atrocities and other human rights violations in Croatia and Bosnia-Herzegovina.
562,1993,International Reporting,The New York Times,John F. Burns,For his courageous and thorough coverage of the destruction of Sarajevo and the barbarous killings in the war in Bosnia-Herzegovina.
563,1992,International Reporting,Newsday,Patrick J. Sloyan,"For his reporting on the Persian Gulf War, conducted after the war was over, which revealed new details of American battlefield tactics and &quot;friendly fire&quot; incidents."
564,1991,International Reporting,The New York Times,Serge Schmemann,For his coverage of the reunification of Germany.
565,1991,International Reporting,The Washington Post,Caryle Murphy,"For her dispatches from occupied Kuwait, some of which she filed while in hiding from Iraqi authorities."
566,1990,International Reporting,The New York Times,Nicholas D. Kristof and Sheryl WuDunn,For knowledgeable reporting from China on the mass movement for democracy and its subsequent suppression.
567,1989,International Reporting,The New York Times,Bill Keller,For resourceful and detailed coverage of events in the U.S.S.R.
568,1989,International Reporting,The Washington Post,Glenn Frankel,For sensitive and balanced reporting from Israel and the Middle East.
569,1988,International Reporting,The New York Times,Thomas L. Friedman,For balanced and informed coverage of Israel.
570,1987,International Reporting,Los Angeles Times,Michael Parks,For his balanced and comprehensive coverage of South Africa.
571,1986,International Reporting,San Jose (CA) Mercury News,"Lewis M. Simons, Pete Carey and Katherine Ellison",For their June 1985 series that documented massive transfers of wealth abroad by President Marcos and his associates and had a direct impact on subsequent political developments in the Philippines and the United States.
572,1985,International Reporting,Newsday,"Josh Friedman, Dennis Bell, and Ozier Muhammad",For their series on the plight of the hungry in Africa.
573,1984,International Reporting,The Wall Street Journal,Karen Elliott House,For her extraordinary series of interviews with Jordan&#039;s King Hussein which correctly anticipated the problems that would confront the Reagan administration&#039;s Middle East peace plan.
574,1983,International Reporting,The New York Times and The Washington Post,Thomas L. Friedman and Loren Jenkins,For their individual reporting of the Israeli invasion of Beirut and its tragic aftermath.
575,1982,International Reporting,The New York Times,John Darnton,For his reporting from Poland.
576,1981,International Reporting,The Miami Herald,Shirley Christian,For her dispatches from Central America.
577,1980,International Reporting,Louisville Courier-Journal,Joel Brinkley and Jay Mather,For stories from Cambodia.
578,1979,International Reporting,The Philadelphia Inquirer,Richard Ben Cramer,For reports from the Middle East.
579,1978,International Reporting,The New York Times,Henry Kamm,"For his stories on the refugees, &quot;boat people,&quot; from Indochina."
580,1976,International Reporting,The New York Times,Sydney H. Schanberg,"For his coverage of the Communist takeover in Cambodia, carried out at great risk when he elected to stay at his post after the fall of Pnom Penh."
581,1975,International Reporting,Chicago Tribune,William Mullen and Ovie Carter,For their coverage of famine in Africa and India.
582,1974,International Reporting,The New York Times,Hedrick Smith,For his coverage of the Soviet Union and its allies in Eastern Europe in 1973.
583,1973,International Reporting,The New York Times,Max Frankel,For his coverage of President Nixon&#039;s visit to China in 1972.
584,1972,International Reporting,The Wall Street Journal,Peter R. Kann,For his coverage of the Indo-Pakistan War of 1971.
585,1971,International Reporting,The Washington Post,Jimmie Lee Hoagland,For his coverage of the struggle against apartheid in the Republic of South Africa.
586,1970,International Reporting,Dispatch News Service,Seymour M. Hersh,For his exclusive disclosure of the Vietnam War tragedy at the hamlet of My Lai.
587,1969,International Reporting,Los Angeles Times,William Tuohy,For his Vietnam War correspondence in 1968.
588,1968,International Reporting,The Washington Post,Alfred Friendly,For his coverage of the Middle East War of 1967.
589,1967,International Reporting,The Christian Science Monitor,R. John Hughes,For his thorough reporting of the attempted Communist coup in Indonesia in 1965 and the purge that followed in 1965-66.
590,1966,International Reporting,Associated Press,Peter Arnett,For his coverage of the war in Vietnam.
591,1965,International Reporting,Philadelphia Bulletin,J. A. Livingston,For his reports on the growth of economic independence among Russia&#039;s Eastern European satellites and his analysis of their desire for a resumption of trade with the West.
592,1964,International Reporting,Associated Press and The New York Times,Malcolm W. Browne and David Halberstam,For their individual reporting of the Viet Nam war and the overthrow of the Diem regime.
593,1963,International Reporting,The Miami (FL) News,Hal Hendrix,"For his persistent reporting which revealed, at an early stage, that the Soviet Union was installing missile launching pads in Cuba and sending in large numbers of MIG-21 aircraft."
594,1962,International Reporting,New York Herald Tribune Syndicate,Walter Lippmann,"For his 1961 interview with Soviet Premier Khrushchev, as illustrative of Lippmann&#039;s long and distinguished contribution to American journalism."
595,1961,International Reporting,Associated Press,Lynn Heinzerling,For his reporting under extraordinarily difficult conditions of the early stages of the Congo crisis and his keen analysis of events in other parts of Africa.
596,1960,International Reporting,The New York Times,A. M. Rosenthal,"For his perceptive and authoritative reporting from Poland. Mr. Rosenthal&#039;s subsequent expulsion from the country was attributed by Polish government spokesmen to the depth his reporting into Polish affairs, there being no accusation of false reporting."
597,1959,International Reporting,New York Daily News,Joseph Martin and Philip Santora,For their exclusive series of articles disclosing the brutality of the Batista government in Cuba long before its downfall and forecasting the triumph of the revolutionary party led by Fidel Castro.
598,1958,International Reporting,The New York Times,Staff,"For its distinguished coverage of foreign news, which was characterized by admirable initiative, continuity and high quality during the year."
599,1957,International Reporting,United Press,Russell Jones,"For his excellent and sustained coverage of the Hungarian revolt against Communist domination, during which he worked at great personal risk within Russian-held Budapest and gave front-line eyewitness reports of the ruthless Soviet repression of the Hungarian people."
600,1956,International Reporting,International News Service,"William Randolph Hearst Jr., J. Kingsbury-Smith and Frank Connif",For a series of exclusive interviews with the leaders of the Soviet Union.
601,1955,International Reporting,The New York Times,Harrison E. Salisbury,"For his distinguished series of articles, &quot;Russia Re-Viewed,&quot; based on his six years as a Times correspondent in Russia. The perceptive and well-written Salisbury articles made a valuable contribution to American understanding of what is going on inside Russia. This was principally due to the writer&#039;s wide range of subject matter and depth of background plus a number of illuminating photographs which he took."
602,1954,International Reporting,Scripps-Howard Newspapers,Jim G. Lucas,"For his notable front-line human interest reporting of the Korean War, the cease-fire and the prisoner-of-war exchanges, climaxing 26 months of distinguished service as a war correspondent."
603,1953,International Reporting,The Milwaukee Journal,Austin Wehrwein,For a series of articles on Canada.
604,1952,International Reporting,Associated Press,John M. Hightower,For the sustained quality of his coverage of news of international affairs during the year.
605,1951,International Reporting,,"Keyes Beech, Homer Bigart, Marguerite Higgins, Relman Morin, Fred Sparks and Don Whitehead",For their reporting of the Korean War.
606,1950,International Reporting,The Christian Science Monitor,Edmund Stevens,"For his series of 43 articles written over a three-year residence in Moscow entitled, &quot;This Is Russia Uncensored.&quot;"
607,1949,International Reporting,The Baltimore Sun,Price Day,"For his series of 12 articles entitled, &quot;Experiment in Freedom: India and Its First Year of Independence.&quot;"
608,1948,International Reporting,The Baltimore Sun,Paul W. Ward,For his series of articles published in 1947 on &quot;Life in the Soviet Union.&quot;
609,2020,Feature Writing,,Ben Taub of The New Yorker,"For a devastating account of a man who was kidnapped, tortured and deprived of his liberty for more than a decade at the Guantanamo Bay detention facility, blending on-the-ground reporting and lyrical prose to offer a nuanced perspective on America&#039;s wider war on terror."
610,2019,Feature Writing,,Hannah Dreier of ProPublica,"For a series of powerful, intimate narratives that followed Salvadoran immigrants on New York’s Long Island whose lives were shattered by a botched federal crackdown on the international criminal gang MS-13."
611,2018,Feature Writing,,"Rachel Kaadzi Ghansah, freelance reporter, GQ","For an unforgettable portrait of murderer Dylann Roof, using a unique and powerful mix of reportage, first-person reflection and analysis of the historical and cultural forces behind his killing of nine people inside Emanuel AME Church in Charleston, S.C."
612,2017,Feature Writing,The New York Times,C. J. Chivers,"For showing, through an artful accumulation of fact and detail, that a Marine’s postwar descent into violence reflected neither the actions of a simple criminal nor a stereotypical case of PTSD."
613,2016,Feature Writing,The New Yorker,Kathryn Schulz,"For an elegant scientific narrative of the rupturing of the Cascadia fault line, a masterwork of environmental reporting and writing."
614,2015,Feature Writing,Los Angeles Times,Diana Marcum,"For her dispatches from California&#039;s Central Valley offering nuanced portraits of lives affected by the state&#039;s  drought, bringing an original and empathic perspective to the story."
615,2014,Feature Writing,,No award,No award
616,2013,Feature Writing,The New York Times,John Branch,"For his evocative narrative about skiers killed in an avalanche and the science that explains such disasters, a project enhanced by its deft integration of multimedia elements."
617,2012,Feature Writing,The Stranger,Eli Sanders,"For his haunting story of a woman who survived a brutal attack that took the life of her partner, using the woman&#039;s brave courtroom testimony and the details of the crime to construct a moving narrative."
618,2011,Feature Writing,The Star-Ledger,Amy Ellis Nutt,For her deeply probing story of the mysterious sinking of a commercial fishing boat in the Atlantic Ocean that drowned six men.
619,2010,Feature Writing,The Washington Post,Gene Weingarten,"For his haunting story about parents, from varying walks of life, who accidentally kill their children by forgetting them in cars."
620,2009,Feature Writing,St. Petersburg Times,Lane DeGregory,"For her moving, richly detailed story of a neglected little girl, found in a roach-infested room, unable to talk or feed herself, who was adopted by a new family committed to her nurturing."
621,2008,Feature Writing,The Washington Post,Gene Weingarten,"For his chronicling of a world-class violinist who, as an experiment, played beautiful music in a subway station filled with unheeding commuters."
622,2007,Feature Writing,The New York Times,Andrea Elliott,"For her intimate, richly textured portrait of an immigrant imam striving to find his way and serve his faithful in America."
623,2006,Feature Writing,Rocky Mountain News,Jim Sheeler,For his poignant story on a Marine major who helps the families of comrades killed in Iraq cope with their loss and honor their sacrifice.
624,2005,Feature Writing,Chicago Tribune,Julia Keller,"For her gripping, meticulously reconstructed account of a deadly 10-second tornado that ripped through Utica, Illinois."
625,2004,Feature Writing,,No award,No award
